stage,lambda_ean,mean_weight,mse_gain_pct,psi_meanweight,scalar_risk_ratio_at_meanweight
U6,0.007094347331368,0.0828727466633212,6.9684069575089005,0.0417303373562276,0.8411711220251527
U6,0.0141279499606648,0.0504554482973178,8.28569939113011,0.0255841401730526,0.90167082192883
U6,0.0388879381656029,0.0436311405846081,7.969999488559641,0.0226639328408785,0.9147154253107448
U6,0.063259124977601,0.0409590377938155,7.3807734666545555,0.0217750353422883,0.919865693403462
U6,0.1116720767849284,0.0397249549005862,7.239705716368889,0.0220805615572611,0.9223043888229112
U6,0.0037027678477676,0.0828515109543465,10.413487473802066,0.0415791454326236,0.8411867681378737
U6,0.0079958478927513,0.0448039021413067,5.257869733073751,0.0225810736639151,0.912415636146754
U6,0.0128000107721323,0.0407545636198343,6.640902675989985,0.0206381112365908,0.9201730671951012
U6,0.0252304843013892,0.0382374858067257,7.711315222104474,0.0196011180460484,0.925024023332712
U6,0.0560609257795555,0.0380017066462072,7.117204680231348,0.0200660587509983,0.9255216756639876
U6,0.0435457962786922,0.0705014814566448,7.770652322337277,0.0367857623027509,0.864183938564422
U6,0.125640909533699,0.0427619888830411,6.249757765914384,0.0240673220298881,0.916534355348091
U6,0.1677331142314801,0.0372848237875014,5.74702335747319,0.0217693616974755,0.9270536860547106
U6,0.3670087549025896,0.0351541610697784,5.5681498952930735,0.0240280229768214,0.9313810478402742
U6,0.9695264852270544,0.0338424462905782,5.734039119490362,0.0333267971470839,0.934570828103818
U6,0.0679765168863263,0.0691989738969901,7.753145642497835,0.0369514395573076,0.8667160556087844
U6,0.1260079949376157,0.0404667646681278,6.279270485169483,0.0227829502727855,0.9209103752380132
U6,0.3020318286083975,0.036932512323728,5.7251189711197705,0.0240436532779828,0.9279109603945372
U6,0.6235520399204596,0.0331063762639435,5.720770111742249,0.0268749623588499,0.9355667127039758
U6,1.3672540905543735,0.0323763325566237,4.859189479646712,0.0383215028409081,0.9377287543268462
U6,0.0034363819073178,0.0856500969601174,8.181199632475948,0.0429722117018356,0.8360609542774708
U6,0.008751010222908,0.0480431207674382,6.352874721580773,0.0242317733042072,0.90624209848765
U6,0.0166997159719926,0.0424367920397414,7.7043449277598,0.0215727372067838,0.9169573714456618
U6,0.0318791824500825,0.0402709228463757,7.777841467749291,0.0207773634716143,0.9211316015098814
U6,0.0742830080440745,0.0390838882591489,7.125091147417731,0.0209935785225485,0.923473244835972
U6,0.0981336848309909,0.0665977614102602,3.0349115129894626,0.0365666225694721,0.871674987590401
U6,0.2114835364451939,0.038403294283415,4.451173882177549,0.0232624793848085,0.9249801231163232
U6,0.424556839554823,0.0319934816705921,4.615880463034573,0.0227882665675069,0.93747118863628
U6,0.844060617480952,0.029710553938676,4.834001175335143,0.027394031220928,0.942206675807022
U6,1.95710827172674,0.0277450223662437,3.5733552625720577,0.0410225175692314,0.9467862966024684
U6,0.0009819708260894,0.084839734692154,6.053729643237004,0.0424615224182574,0.8375253792088718
U6,0.0023786499370505,0.0514980921481717,6.41286849012285,0.025810294040909,0.899662177505437
U6,0.0050978769261901,0.0453780263432736,8.25415422734671,0.0228046789683625,0.9113136099594052
U6,0.0082902240182901,0.0418214812105311,7.543290625451427,0.0210840953292715,0.9181205737722462
U6,0.019591494974651,0.0416765711324198,8.045377972767199,0.0212465387331606,0.9184178235008208
U6,0.1434896139795214,0.0647653766037541,3.558559247652964,0.0370292677459325,0.8752656757343448
U6,0.3090834145812661,0.0375431732062454,4.793714808170914,0.0245735726875238,0.9267587933789172
U6,0.5688861980339972,0.0298581674921333,4.297423812673606,0.0234220334384976,0.9416823430105594
U6,1.1976435803305696,0.028668169866641,3.5229305374014173,0.0315012097336249,0.9444698243300144
U6,3.208721168320588,0.0248317780056749,3.773386557705048,0.0522550148697608,0.9529316138465084
U6,0.2575322651414581,0.0600730250529764,2.738453061710186,0.0377718836343844,0.8843920925177802
U6,0.5306901539227273,0.0348896047802506,4.063112851070299,0.0267025872556925,0.9320840758714212
U6,1.0612242068550126,0.029554858620574,3.089217384376197,0.0304595950094524,0.9426907408071404
U6,2.627910388296772,0.0250290973791394,3.3897807019373847,0.0454016611957358,0.9522145304402064
U6,5.065261806396894,0.0220270835776246,2.0587381617486966,0.0668000143648394,0.9588886518435524
U6,0.0074646302678962,0.0827603587765416,5.875801222511343,0.0416890671278234,0.8413796867520327
U6,0.0153209553051946,0.0490108548516742,6.08195787737072,0.024880873984163,0.9044171561034928
U6,0.0346343050020946,0.0459237076919677,7.444548654779832,0.0237571216954991,0.9103346148407576
U6,0.0666699250343194,0.0412429904869622,7.324727173673802,0.0219963287854595,0.9193284077837692
U6,0.1552970764870206,0.039308344626221,7.320447602917459,0.0227064078141087,0.9231684133547188
U6,0.0415531490214814,0.0244798266563636,0.8583715018218158,0.0127485202707178,0.9516645098199772
U6,0.0818388467951683,0.0147180454510036,1.6737191010969394,0.0079612766588963,0.97079825796142
U6,0.2081203645849494,0.011729331868994,1.907412859839536,0.0070852223469534,0.976707546110558
U6,0.3674192356579837,0.0097041543513871,1.6732046007962185,0.0066348236629404,0.9807204620030644
U6,1.2489496870821122,0.0075768285152518,1.531771995135022,0.0085199530592252,0.9849754514160716
U6,0.1425783663637395,0.0875002008353607,3.104508810995711,0.0499879182634828,0.8337475041040713
U6,0.2332430416141255,0.0495234468162006,5.643124513770092,0.0305372230914133,0.9039777234549627
U6,0.5430395310093111,0.0412028558199454,5.617315644706777,0.0317888176603264,0.9202138685015993
U6,1.0980081555230508,0.0378876993045141,5.226643236647209,0.0397443510674378,0.9272362454355642
U6,2.211912288826449,0.0351576326949428,4.349732506796398,0.0564616162494666,0.9336548481410376
U6,0.0313819679796267,0.0921663663726313,4.3334649474499685,0.0475293641654679,0.8244284848370028
U6,0.0696452181788072,0.0530659353353522,6.587842917081776,0.0283808619898226,0.8968802433035226
U6,0.1813989231502987,0.0459200604761023,7.227609230271727,0.0271249549987319,0.910651038195702
U6,0.2861400361105804,0.0443494398088797,7.339705363318627,0.0285197950586382,0.91383079425087
U6,0.694617748848956,0.0415176863411254,7.144325304624682,0.0351783040824075,0.9198856709075616
U6,0.0157656570597572,0.0909182879500723,5.1372201367370645,0.0461758372491767,0.8265598802345678
U6,0.0359991089687355,0.0539491564195568,6.927557859381134,0.0279456389901379,0.8951169744591331
U6,0.0825946723632708,0.0469127195509855,7.33486068742139,0.0253937301259845,0.9085571387775364
U6,0.1712239564299953,0.0436855937733991,7.834050516210352,0.025582806989137,0.9148640126806232
U6,0.3168573584383488,0.0424089201614106,7.440296245876103,0.027923249288989,0.9175505493766666
U6,0.045706827389423,0.0991130575540456,5.146504087453788,0.0518216004838531,0.8120462794345066
U6,0.1017970541941301,0.0540691177891537,6.745681970222899,0.0297865973514825,0.8950828345031635
U6,0.2030034773596424,0.0462724345083577,6.576631016688887,0.0278329498097253,0.9100309276777744
U6,0.3276515915281227,0.0435761522208855,7.414514456642891,0.0289269739243651,0.9153687479962644
U6,0.9596891609264692,0.0410919234379203,7.185483785472229,0.0402636984814564,0.9211251787548144
U6,0.0358094793536746,0.0802347386785709,2.878668051042788,0.0415539514483643,0.8461986635139013
U6,0.0887431343179993,0.0502512101734805,5.670707450141928,0.0273553300337738,0.9022468565308231
U6,0.1769723217757893,0.0431029372105183,6.622663551982149,0.0253654820420098,0.915980779138506
U6,0.4413490945733681,0.0411625993981545,6.592081749246935,0.0296648376864081,0.9201169648634848
U6,0.7967853953440239,0.0377152776280901,6.254875376981041,0.0338831300117488,0.9271252680544232
U7,0.032225928953876,0.0519449350245098,6.739461019476707,0.0268094544050616,0.8988953606852074
U7,0.0813889754589559,0.0456828908247306,7.572179529017258,0.0247004872524793,0.910890997675484
U7,0.1846214736050631,0.0436382571762686,7.56450538125232,0.025847408260854,0.9149793573455168
U7,0.3742076267837256,0.0423559487756635,6.869709192279168,0.0291029339235888,0.9177534672056508
U7,0.6831329099112846,0.0405141751189019,7.146818078420436,0.0340953707302664,0.921734341403216
U7,0.0013259769836178,0.0527281773000866,6.373137166799342,0.0263990468247873,0.8973275926428879
U7,0.0026343156747819,0.0458855508042135,7.601346990688106,0.0230032139149715,0.9103399286730842
U7,0.0050546470649369,0.0437487292873073,7.730226339344684,0.021984931836697,0.9144261670880324
U7,0.011740913240228,0.0428800124017606,8.283280276116223,0.0216917314535548,0.9161002586239668
U7,0.0213713809317965,0.0420610263526844,8.002385247282575,0.0214799642846249,0.9176848859822918
U7,0.2895497880007414,0.0423027668633852,4.817180147936511,0.0272757620202616,0.917702146676758
U7,0.5467895524430892,0.0339197527719325,5.520582508885083,0.0262333596045388,0.9339401526004614
U7,1.2448036488562997,0.0321840436776951,4.585918034861089,0.0361234293413202,0.937957108700028
U7,2.534806396555629,0.0285099422534766,4.137058273715742,0.0503885631215105,0.9458532655427064
U7,5.331818522190508,0.024287225898949,2.2796472236336376,0.0768911533997953,0.9551604938266052
U7,0.0034146385624864,0.0554334085167282,7.940247725290527,0.0278113467855497,0.8922165384620709
U7,0.0051180092163612,0.0474454660055933,6.985197486393078,0.0238441461689422,0.9073716612417954
U7,0.0155484867316893,0.0450963746094076,8.567170942316551,0.0228987774958346,0.911872554477284
U7,0.0267965931092261,0.0442766495054804,8.408568084764617,0.0227315564332592,0.9134596553028582
U7,0.049536250355205,0.0438395810675281,8.320332519773793,0.0230056147653782,0.914337950891974
U7,0.0035047920385278,0.0521784047377406,6.574314360517973,0.0261806395976242,0.8983753185429544
U7,0.0068029136889844,0.0482194550249616,7.582120621741402,0.0242737439078131,0.9059020233553772
U7,0.0150811449759389,0.0453877626004313,8.121427148749925,0.0230361310141709,0.9113155916905448
U7,0.0305448690439608,0.0449660797306171,8.595987164205011,0.0231697813737046,0.9121515490119476
U7,0.0616584832834711,0.0439274410049649,8.228913269842689,0.0233179701959276,0.9141937155103445
U7,0.3541383868114631,0.0461129301163515,5.566159051888052,0.0312216443994529,0.910653582779916
U7,0.6655465822445881,0.0380752138817816,5.673983688201246,0.0317080211745165,0.9262641516124122
U7,1.3825803466152664,0.0346564839104924,5.184351620255047,0.0412859287239637,0.9335486824281186
U7,3.172669825406711,0.032393403670773,3.551986583579533,0.0675834890196268,0.939591711141038
U7,5.795935784307474,0.0269511965777455,2.370764628782317,0.091579300626303,0.9510339503117728
U7,0.004597990720716,0.0528465432923064,7.080724279067068,0.0265447656039931,0.8971125116247383
U7,0.0087996568349483,0.0478546102695854,7.445677669034626,0.0241378572089639,0.9066009949597852
U7,0.0181704086516606,0.0454139952686986,8.306931379249258,0.0231195930606177,0.9112719156423408
U7,0.0351077001941477,0.0437164457624472,8.268850501219662,0.0226256148169145,0.9145453314010769
U7,0.0919748349509428,0.0431513262967974,8.20923838280285,0.0235600812054298,0.915730644909754
U7,0.0283682528187895,0.051134482189793,6.006727163560942,0.0262925390541554,0.9004199463603924
U7,0.0575174443435559,0.0457874380362821,7.552662035602963,0.024210507227584,0.9106421981264556
U7,0.1115629500466688,0.0428666029990607,7.346559335847795,0.0238244638440576,0.916309341668416
U7,0.2166139258292344,0.0423616054587396,7.254611595843152,0.0257688595607931,0.9174600096061928
U7,0.4274360248739897,0.0400592667423713,6.954048792843153,0.0285910202390486,0.9221721371276425
U7,0.1394899860540572,0.0467378818735657,5.063864521284935,0.0266286741821527,0.9090133719096188
U7,0.2443702472995911,0.0410029133091762,6.288357218081415,0.0255114026872716,0.9200862570472108
