dataset,budget,n_target,theta_target_accuracy,H_historical_accuracy,B_H_minus_theta,direct_full_mse,direct_full_mae,direct_full_bias,half_direct_mean_mse,shared_mse,shared_mae,shared_bias,strict_A_to_B_mse,strict_B_to_A_mse,strict_mean_mse,crossfit_mse,crossfit_mae,crossfit_bias,shared_gain_vs_full_direct_pct,strict_mean_gain_vs_full_direct_pct,crossfit_gain_vs_full_direct_pct,shared_coupling,strict_A_to_B_coupling,strict_B_to_A_coupling,strict_mean_coupling,crossfit_coupling,strict_abs_coupling_reduction_pct,crossfit_abs_coupling_reduction_pct,mean_w_shared,mean_w_A,mean_w_B,shared_exact_noise_term,shared_exact_bias_term,crossfit_exact_noise_term,crossfit_exact_bias_term
georgia,128,10292,0.955110765643,0.973208152049,0.0180973864062,0.000318063080831,0.0143398543772,-0.00108732814322,0.000640633881612,0.000219725506832,0.0117340732141,0.00428613583036,0.000285927384133,0.000353322083997,0.000319624734065,0.000171681609667,0.0102880432093,0.00502115103712,30.9176323583,-0.490988526518,46.0227797521,2.96171488708e-06,-1.32183045651e-05,-2.74742745532e-06,-7.98286601024e-06,-9.0934200066e-06,-169.535263001,-207.032255072,0.316185698401,0.313606845661,0.324427146893,0.000182850865767,3.39129261783e-05,0.000146489763578,3.42852660961e-05
georgia,256,10292,0.955110765643,0.973208152049,0.0180973864062,0.000162503343852,0.0106253264064,2.59531067819e-05,0.0003122683585,0.000137525682459,0.00982998587533,0.00419384359369,0.000178307402061,0.000177129635814,0.000177718518938,0.000115237478964,0.00888371573298,0.00574257175309,15.3705522614,-9.36299200079,29.0860875644,1.63684953763e-05,-2.58772049743e-06,2.84827265596e-06,1.30276079265e-07,7.765869156e-06,99.2041047374,52.5559987192,0.281174567192,0.317232248135,0.315600699192,9.32064522616e-05,2.79507348206e-05,7.40754001433e-05,3.33962096647e-05
georgia,512,10292,0.955110765643,0.973208152049,0.0180973864062,7.09785562485e-05,0.00668034031286,0.000182203106782,0.000148989115331,7.90456523802e-05,0.00740998998776,0.00348746550336,0.000103582269644,0.000109421745069,0.000106502007356,7.69698989311e-05,0.00742114945121,0.00540072079436,-11.3655399012,-50.048145504,-8.44106022901,1.55281627647e-05,1.03625895366e-06,-1.02509543275e-07,4.66874705192e-07,1.2185947825e-05,96.9933680354,21.5235697253,0.224878645655,0.288480563631,0.288825318362,4.42649092303e-05,1.92525803852e-05,3.65226315966e-05,2.82613195095e-05
georgia,1024,10292,0.955110765643,0.973208152049,0.0180973864062,3.97776239596e-05,0.00497462000219,-0.000452562518218,7.95076959811e-05,4.38844220073e-05,0.00529269849377,0.00157342237889,7.10661012005e-05,5.76737231237e-05,6.43699121621e-05,4.99089889011e-05,0.00596031639019,0.00356455815012,-10.3243925577,-61.8244272897,-25.470010355,8.28062449339e-06,1.31253430224e-07,-5.81342853517e-06,-2.84108755247e-06,8.27127347172e-06,65.6899361305,0.112926527206,0.132221310842,0.210137592202,0.221823851158,2.80675822344e-05,7.53621527954e-06,2.4995115291e-05,1.66426001384e-05
cpsc_2018,128,6877,0.942125927003,0.973208152049,0.0310822250464,0.000365749310151,0.0154862221899,-0.00173530200305,0.000835720013276,0.000328448981685,0.0155490723442,0.00585691972074,0.000497956707094,0.000423123738973,0.000460540223033,0.00026301033936,0.0137218983369,0.00867244032444,10.1983318712,-25.9169081804,28.0899971481,2.25187895588e-05,-2.80529785312e-05,-2.84778086918e-05,-2.82653936115e-05,-9.1215896861e-07,-25.51915163,95.9493428089,0.273988235286,0.314900097561,0.308007431974,0.000226796179447,7.91340126797e-05,0.000168080824571,9.58416737575e-05
cpsc_2018,256,6877,0.942125927003,0.973208152049,0.0310822250464,0.000189726997022,0.0110464711402,-0.00109077075305,0.000389846015577,0.00020593676185,0.0120679560337,0.00421164559406,0.000268423177621,0.000275767411485,0.000272095294553,0.000200099988604,0.0122700951014,0.00787991017114,-8.54373129949,-43.4141154519,-5.46732502192,3.14128469015e-05,-2.55159699415e-06,-2.56917128894e-05,-1.41216549418e-05,2.06057666901e-05,55.0449693846,34.4033772085,0.20112915583,0.27582823329,0.280092007769,0.000127699738839,4.68241761094e-05,0.000101500157323,7.7994064591e-05
cpsc_2018,512,6877,0.942125927003,0.973208152049,0.0310822250464,9.26396150694e-05,0.00762797271476,0.000461963621946,0.000200118710528,0.000110580550217,0.00857096553325,0.0035924807355,0.000173192954382,0.000183880533244,0.000178536743813,0.000137647510864,0.00987281121578,0.00688795732835,-19.3663748868,-92.7218109437,-48.5838544996,2.63652626966e-05,7.33160913782e-06,-2.88060853726e-06,2.22550030028e-06,3.33623633533e-05,91.5589678514,-26.5390894722,0.120396095086,0.203304558379,0.212826345002,6.62254299104e-05,1.79898576103e-05,5.86397477007e-05,4.56453998098e-05
cpsc_2018,1024,6877,0.942125927003,0.973208152049,0.0310822250464,4.28001397436e-05,0.00534566009774,-0.000958934815554,9.77460854833e-05,4.41510987009e-05,0.00542039011207,0.000667352926035,8.53361308543e-05,8.08631089144e-05,8.30996198843e-05,5.52758754314e-05,0.00595950975609,0.00274191369897,-3.15643585593,-94.1573564529,-29.1488199865,2.61171691909e-06,-1.02726969796e-05,-8.44185613307e-06,-9.35727655632e-06,6.67633586876e-06,-258.280657751,-155.630149652,0.0539682367989,0.112150221812,0.113492293285,3.8452849112e-05,3.08653266972e-06,3.49672173772e-05,1.36323221855e-05
