stage,Lambda,mean_weight,observed_MSE_gain_pct,fixed_scalar_predicted_gain_pct,rho_realized_w005,fixed_w005_safe_realized,rho_realized_actual_meanweight,actual_meanweight_fixed_safe_realized,fixed_scalar_risk_ratio
U6,0.007094347331368,0.0828727466633212,6.9684069575089,15.8828877974847,0.0134872659138147,1,0.0175120351220239,1,0.841171122025153
U6,0.0141279499606648,0.0504554482973178,8.28569939113011,9.83291780711701,0.0190330010034291,1,0.0191217231687578,1,0.90167082192883
U6,0.0388879381656029,0.0436311405846081,7.96999948855964,8.52845746892553,0.0315773117860093,1,0.0294496658359753,1,0.914715425310745
U6,0.063259124977601,0.0409590377938155,7.38077346665456,8.01343065965381,0.0402744192457137,1,0.0363676052638468,1,0.919865693403462
U6,0.111672076784928,0.0397249549005862,7.23970571636889,7.76956111770889,0.0535106212282098,1,0.0475713523039156,1,0.922304388822911
U6,0.0037027678477676,0.0828515109543465,10.4134874738021,15.8813231862126,0.00974385782569586,1,0.0126498560273802,1,0.841186768137874
U6,0.0079958478927513,0.0448039021413067,5.25786973307375,8.7584363853246,0.0143185802662058,1,0.013536145719825,1,0.912415636146754
U6,0.0128000107721323,0.0407545636198343,6.64090267598999,7.98269328048989,0.0181164401694607,1,0.0163173214536794,1,0.920173067195101
U6,0.0252304843013892,0.0382374858067257,7.71131522210447,7.49759766672879,0.0254349266739147,1,0.0221760525471898,1,0.925024023332712
U6,0.0560609257795555,0.0380017066462072,7.11720468023135,7.44783243360123,0.0379138449035866,1,0.0329520448902846,1,0.925521675663988
U6,0.0435457962786922,0.0705014814566448,7.77065232233728,13.5816061435578,0.033414949931742,1,0.0398887121611281,1,0.864183938564422
U6,0.125640909533699,0.0427619888830411,6.24975776591438,8.34656446519088,0.0567588035719161,1,0.0523929271992968,1,0.916534355348091
U6,0.16773311423148,0.0372848237875014,5.74702335747319,7.29463139452894,0.0655808591195515,1,0.0564477729663731,1,0.927053686054711
U6,0.36700875490259,0.0351541610697784,5.56814989529307,6.86189521597258,0.0970076331787257,1,0.0810330789143223,1,0.931381047840274
U6,0.969526485227054,0.0338424462905782,5.73403911949036,6.5429171896182,0.157669443670485,1,0.129181866395842,1,0.934570828103818
U6,0.0679765168863263,0.0691989738969901,7.75314564249784,13.3283944391216,0.041749103133719,1,0.0493583372037151,1,0.866716055608784
U6,0.126007994937616,0.0404667646681278,6.27927048516948,7.90896247619867,0.0568416592753029,1,0.0510119558896691,1,0.920910375238013
U6,0.302031828608398,0.036932512323728,5.72511897111977,7.20890396054629,0.088002306002478,1,0.0753812207970341,1,0.927910960394537
U6,0.62355203992046,0.0331063762639435,5.72077011174225,6.44332872960242,0.126445695237578,1,0.102447588313027,1,0.935566712703976
U6,1.36725409055437,0.0323763325566237,4.85918947964671,6.22712456731538,0.187237275118236,1,0.149991767521881,1,0.937728754326846
U6,0.0034363819073178,0.0856500969601174,8.18119963247595,16.3939045722529,0.00938681823611666,1,0.0123994945216814,1,0.836060954277471
U6,0.008751010222908,0.0480431207674382,6.35287472158077,9.375790151235,0.0149794818839125,1,0.0146760638006089,1,0.90624209848765
U6,0.0166997159719926,0.0424367920397414,7.7043449277598,8.30426285543382,0.0206929419231705,1,0.0190268948737138,1,0.916957371445662
U6,0.0318791824500825,0.0402709228463757,7.77784146774929,7.88683984901184,0.0285904692969091,1,0.0255947776124046,1,0.921131601509881
U6,0.0742830080440745,0.0390838882591489,7.12509114741773,7.65267551640278,0.0436427830683451,1,0.0384781439461643,1,0.923473244835972
U6,0.0981336848309909,0.0665977614102602,3.03491151298946,12.8325012409599,0.0501622201362716,1,0.0581403658581518,1,0.871674987590401
U6,0.211483536445194,0.038403294283415,4.45117388217755,7.50198768836767,0.0736386772059765,1,0.0643454230334352,1,0.924980123116323
U6,0.424556839554823,0.0319934816705921,4.61588046303457,6.252881136372,0.104336344622083,1,0.0830778802367067,1,0.93747118863628
U6,0.844060617480952,0.029710553938676,4.83400117533514,5.77933241929777,0.147114173128931,1,0.112817683395849,1,0.942206675807022
U6,1.95710827172674,0.0277450223662437,3.57335526257206,5.32137033975314,0.22401398031732,1,0.165927525086511,1,0.946786296602468
U6,0.0009819708260894,0.084839734692154,6.053729643237,16.2474620791128,0.00501784207907119,1,0.0065954796120236,1,0.837525379208872
U6,0.0023786499370505,0.0514980921481717,6.41286849012285,10.0337822494563,0.00780967502697365,1,0.00792885395390547,1,0.899662177505437
U6,0.0050978769261901,0.0453780263432736,8.25415422734671,8.86863900405946,0.0114330570268513,1,0.0108789275947707,1,0.911313609959405
