stage,n,median_Lambda,median_mean_weight,median_rho_w005,q25_rho_w005,q75_rho_w005,fraction_fixed_w005_safe_realized,median_rho_actual_meanweight,fraction_actual_meanweight_fixed_safe,fraction_observed_benefit,fraction_fixed_scalar_predicted_benefit,median_observed_MSE_gain_pct
U6,80,0.134293180650678,0.0415971287367726,0.0586526652906026,0.0301763397255088,0.104847186848914,1,0.052788313221783,1,1,1,6.16585782164255
U7,80,0.0771755554743649,0.0433864700023504,0.0444699645585664,0.0190861324045543,0.0959572345093728,1,0.0408683969862717,1,1,1,7.06235414879856
U8,12,0.364018594481823,0.117963290875988,0.0960787166682702,0.00901463761458469,0.15746005293944,1,0.13623695288038,1,1,1,19.0313086296693
U9A,9,15.6599457450237,0.0084956136650455,0.633669527739202,0.260058757901863,1.0648191880967,0.666666666666667,0.332053047799126,0.888888888888889,0.666666666666667,0.888888888888889,1.84578041792862
U9B,4,36.2641485555169,0.0532773936642829,0.953672338916859,0.74237034667666,1.19015590701441,0.5,0.973016599180733,0.5,0,0.5,-8.51855230259317
