AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.55,0.45,-0.1,16,64,4096,0.0105884753220884,0.155614829811025,1,finite_within_grid
0.55,0.45,-0.1,32,64,4096,0.00521289974974566,0.221782875506732,0.685326247526585,finite_within_grid
0.55,0.45,-0.1,64,256,4096,0.0025861153970482,0.314879035521671,0.410947351977198,finite_within_grid
0.55,0.45,-0.1,128,512,4096,0.00128797407906794,0.446184146416245,0.228202876804318,finite_within_grid
0.55,0.45,-0.1,256,2048,4096,0.000642716134669931,0.631623231456402,0.120780471176189,finite_within_grid
0.55,0.45,-0.1,512,Inf,4096,0.000321040341118956,0.893692045450565,0.0622108490051982,safe_but_grid_censored
0.55,0.475,-0.0750000000000001,16,64,4096,0.0105884753220884,0.116711122358269,1,finite_within_grid
0.55,0.475,-0.0750000000000001,32,64,4096,0.00521289974974566,0.166337156630049,0.961976004597752,finite_within_grid
0.55,0.475,-0.0750000000000001,64,128,4096,0.0025861153970482,0.236159276641253,0.629905992547096,finite_within_grid
0.55,0.475,-0.0750000000000001,128,256,4096,0.00128797407906794,0.334638109812184,0.372625172418292,finite_within_grid
0.55,0.475,-0.0750000000000001,256,1024,4096,0.000642716134669931,0.473717423592302,0.205087824930277,finite_within_grid
0.55,0.475,-0.0750000000000001,512,4096,4096,0.000321040341118956,0.670269034087924,0.107984582243362,finite_within_grid
0.55,0.5,-0.05,16,64,4096,0.0105884753220884,0.0778074149055124,1,finite_within_grid
0.55,0.5,-0.05,32,64,4096,0.00521289974974566,0.110891437753366,1,finite_within_grid
0.55,0.5,-0.05,64,128,4096,0.0025861153970482,0.157439517760836,1,finite_within_grid
0.55,0.5,-0.05,128,256,4096,0.00128797407906794,0.223092073208123,0.68003320623823,finite_within_grid
0.55,0.5,-0.05,256,512,4096,0.000642716134669931,0.315811615728201,0.409019527777002,finite_within_grid
0.55,0.5,-0.05,512,2048,4096,0.000321040341118956,0.446846022725283,0.227604218514377,finite_within_grid
0.55,0.525,-0.025,16,64,4096,0.0105884753220884,0.0389037074527562,1,finite_within_grid
0.55,0.525,-0.025,32,64,4096,0.00521289974974566,0.0554457188766831,1,finite_within_grid
0.55,0.525,-0.025,64,128,4096,0.0025861153970482,0.0787197588804178,1,finite_within_grid
0.55,0.525,-0.025,128,256,4096,0.00128797407906794,0.111546036604061,1,finite_within_grid
0.55,0.525,-0.025,256,512,4096,0.000642716134669931,0.157905807864101,1,finite_within_grid
0.55,0.525,-0.025,512,1024,4096,0.000321040341118956,0.223423011362641,0.678703279691511,finite_within_grid
0.55,0.55,0,16,32,4096,0.0105884753220884,0,1,finite_within_grid
0.55,0.55,0,32,64,4096,0.00521289974974566,0,1,finite_within_grid
0.55,0.55,0,64,128,4096,0.0025861153970482,0,1,finite_within_grid
0.55,0.55,0,128,256,4096,0.00128797407906794,0,1,finite_within_grid
0.55,0.55,0,256,256,4096,0.000642716134669931,0,1,finite_within_grid
0.55,0.55,0,512,512,4096,0.000321040341118956,0,1,finite_within_grid
0.55,0.575,0.0249999999999999,16,64,4096,0.0105884753220884,0.0389037074527561,1,finite_within_grid
0.55,0.575,0.0249999999999999,32,64,4096,0.00521289974974566,0.0554457188766828,1,finite_within_grid
0.55,0.575,0.0249999999999999,64,128,4096,0.0025861153970482,0.0787197588804174,1,finite_within_grid
0.55,0.575,0.0249999999999999,128,256,4096,0.00128797407906794,0.111546036604061,1,finite_within_grid
0.55,0.575,0.0249999999999999,256,512,4096,0.000642716134669931,0.1579058078641,1,finite_within_grid
0.55,0.575,0.0249999999999999,512,1024,4096,0.000321040341118956,0.22342301136264,0.678703279691515,finite_within_grid
0.55,0.6,0.0499999999999999,16,64,4096,0.0105884753220884,0.0778074149055123,1,finite_within_grid
0.55,0.6,0.0499999999999999,32,64,4096,0.00521289974974566,0.110891437753366,1,finite_within_grid
0.55,0.6,0.0499999999999999,64,128,4096,0.0025861153970482,0.157439517760835,1,finite_within_grid
0.55,0.6,0.0499999999999999,128,256,4096,0.00128797407906794,0.223092073208122,0.680033206238232,finite_within_grid
0.55,0.6,0.0499999999999999,256,512,4096,0.000642716134669931,0.3158116157282,0.409019527777003,finite_within_grid
0.55,0.6,0.0499999999999999,512,2048,4096,0.000321040341118956,0.446846022725282,0.227604218514378,finite_within_grid
0.55,0.625,0.075,16,64,4096,0.0105884753220884,0.116711122358268,1,finite_within_grid
0.55,0.625,0.075,32,64,4096,0.00521289974974566,0.166337156630049,0.961976004597754,finite_within_grid
0.55,0.625,0.075,64,128,4096,0.0025861153970482,0.236159276641253,0.629905992547098,finite_within_grid
0.55,0.625,0.075,128,256,4096,0.00128797407906794,0.334638109812184,0.372625172418293,finite_within_grid
0.55,0.625,0.075,256,1024,4096,0.000642716134669931,0.473717423592301,0.205087824930278,finite_within_grid
0.55,0.625,0.075,512,4096,4096,0.000321040341118956,0.670269034087923,0.107984582243363,finite_within_grid
0.55,0.65,0.1,16,64,4096,0.0105884753220884,0.155614829811025,1,finite_within_grid
0.55,0.65,0.1,32,64,4096,0.00521289974974566,0.221782875506732,0.685326247526585,finite_within_grid
0.55,0.65,0.1,64,128,4096,0.0025861153970482,0.314879035521671,0.410947351977198,finite_within_grid
0.55,0.65,0.1,128,512,4096,0.00128797407906794,0.446184146416245,0.228202876804319,finite_within_grid
0.55,0.65,0.1,256,2048,4096,0.000642716134669931,0.631623231456402,0.120780471176189,finite_within_grid
0.55,0.65,0.1,512,Inf,4096,0.000321040341118956,0.893692045450564,0.0622108490051983,safe_but_grid_censored
0.6,0.5,-0.1,16,64,4096,0.0101383497187474,0.159031832211531,1,finite_within_grid
0.6,0.5,-0.1,32,128,4096,0.00498814735468614,0.226724294539723,0.665612265031084,finite_within_grid
0.6,0.5,-0.1,64,256,4096,0.00247381680117118,0.321946663855429,0.396641515680896,finite_within_grid
0.6,0.5,-0.1,128,512,4096,0.00123184418154262,0.456236270262403,0.21934851688326,finite_within_grid
0.6,0.5,-0.1,256,2048,4096,0.000614656036010568,0.645879679475268,0.11581270913072,finite_within_grid
0.6,0.5,-0.1,512,Inf,4096,0.000307011504315098,0.913882522300435,0.0595733310643082,safe_but_grid_censored
0.6,0.525,-0.075,16,64,4096,0.0101383497187474,0.119273874158648,1,finite_within_grid
0.6,0.525,-0.075,32,128,4096,0.00498814735468614,0.170043220904792,0.939993988208158,finite_within_grid
0.6,0.525,-0.075,64,128,4096,0.00247381680117118,0.241459997891572,0.61090820101362,finite_within_grid
0.6,0.525,-0.075,128,256,4096,0.00123184418154262,0.342177202696802,0.359303536416511,finite_within_grid
0.6,0.525,-0.075,256,1024,4096,0.000614656036010568,0.484409759606451,0.19701599974846,finite_within_grid
0.6,0.525,-0.075,512,4096,4096,0.000307011504315098,0.685411891725326,0.103510083920697,finite_within_grid
0.6,0.55,-0.0499999999999999,16,32,4096,0.0101383497187474,0.0795159161057656,1,finite_within_grid
0.6,0.55,-0.0499999999999999,32,64,4096,0.00498814735468614,0.113362147269861,1,finite_within_grid
0.6,0.55,-0.0499999999999999,64,128,4096,0.00247381680117118,0.160973331927715,0.994735793481046,finite_within_grid
0.6,0.55,-0.0499999999999999,128,256,4096,0.00123184418154262,0.228118135131201,0.660179858331287,finite_within_grid
0.6,0.55,-0.0499999999999999,256,512,4096,0.000614656036010568,0.322939839737634,0.394686301732281,finite_within_grid
0.6,0.55,-0.0499999999999999,512,2048,4096,0.000307011504315098,0.456941261150217,0.218746167476081,finite_within_grid
0.6,0.575,-0.025,16,64,4096,0.0101383497187474,0.0397579580528829,1,finite_within_grid
0.6,0.575,-0.025,32,64,4096,0.00498814735468614,0.0566810736349307,1,finite_within_grid
0.6,0.575,-0.025,64,128,4096,0.00247381680117118,0.0804866659638575,1,finite_within_grid
0.6,0.575,-0.025,128,256,4096,0.00123184418154262,0.114059067565601,1,finite_within_grid
0.6,0.575,-0.025,256,512,4096,0.000614656036010568,0.161469919868817,0.991655778950811,finite_within_grid
0.6,0.575,-0.025,512,1024,4096,0.000307011504315098,0.228470630575109,0.658814838429939,finite_within_grid
0.6,0.6,0,16,64,4096,0.0101383497187474,0,1,finite_within_grid
0.6,0.6,0,32,64,4096,0.00498814735468614,0,1,finite_within_grid
0.6,0.6,0,64,128,4096,0.00247381680117118,0,1,finite_within_grid
