method,mae,rmse,bias,correct_resolution_rate,false_assurance_rate,false_rejection_rate,unresolved_rate
DIRECT,0.0277722933900823,0.037039549275993,0.000175997901314811,0.839333333333333,0.117222222222222,0.0687254901960784,0.0846666666666667
STATIC,0.0252888175788068,0.033212967761711,-0.00464239076746683,0.838166666666667,0.117222222222222,0.0653921568627451,0.0886666666666667
ATC,0.0358804496553795,0.0474226370737028,0.00110718832880454,0.8,0.666666666666667,0.0588235294117647,0.05
PPI_PLUS_PLUS_STYLE,0.016252438484247,0.0218178794894941,-8.16849694430612e-05,0.870416666666667,0.0794444444444444,0.0353921568627451,0.0875833333333333
CMDO,0.0267622449243006,0.0356529863905972,-0.00120029883283299,0.838333333333333,0.117222222222222,0.0661764705882353,0.0878333333333333
