dataset,budget,B,V_direct_mse,lambda_B2_over_V,oracle_quadratic_weight_wstar,observed_shared_constant_mean_weight,weight_gap_observed_minus_wstar,bias_variance_regime
cpsc_2018,128,0.0310822250464,0.000365749310151,2.641439606369177,0.2746166648626872,0.273988235286,-0.0006284295766871839,bias_dominant
cpsc_2018,256,0.0310822250464,0.000189726997022,5.0920782439993495,0.16414759626322797,0.20112915583,0.036981559566772015,bias_dominant
cpsc_2018,512,0.0310822250464,9.26396150694e-05,10.428634802846581,0.08749951479339646,0.120396095086,0.03289658029260353,bias_dominant
cpsc_2018,1024,0.0310822250464,4.28001397436e-05,22.572466342928685,0.04242237470836317,0.0539682367989,0.011545862090536825,bias_dominant
georgia,128,0.0180973864062,0.000318063080831,1.0297183624066542,0.49267919063130106,0.316185698401,-0.17649349223030103,bias_dominant
georgia,256,0.0180973864062,0.000162503343852,2.015437879442022,0.33162679517212956,0.281174567192,-0.05045222798012955,bias_dominant
georgia,512,0.0180973864062,7.09785562485e-05,4.614286511952461,0.1781170230395373,0.224878645655,0.046761622615462684,bias_dominant
georgia,1024,0.0180973864062,3.97776239596e-05,8.233659080993686,0.10829942834454144,0.132221310842,0.023921882497458566,bias_dominant
