scenario,H,A,C,A_plus_C,kappa_H_over_A_plus_C,H_minus_A_plus_C,threshold,status,evidence_role
shared_adaptive,0.08614018257526133,0.014038144808296255,0.21760207668843723,0.2316402214967335,0.37187057592446676,-0.14550003892147217,1.0,FIXED_RULE_PREFERABLE,observed_postcompletion
permuted_control,0.08614018257526133,0.014038144808296255,0.032149154481817134,0.04618729929011339,1.8650188233391694,0.03995288328514794,1.0,COMPOSABLE,mechanistic_control
role_separated_prediction,0.08614018257526133,0.014038144808296255,0.031361042209636036,0.04539918701793229,1.8973948265028777,0.040740995557329046,1.0,COMPOSABLE,postcompletion_prediction
