dataset,budget,N,theta,H,B,direct_mse,shared_adaptive_mse,shared_adaptive_gain_pct,shared_constant_mean_weight,shared_constant_mean_mse,shared_constant_mean_gain_pct,shared_permuted_weight_mse,shared_permuted_weight_gain_pct,shared_permuted_weight_mse_sd,shared_adaptation_tax,shared_tax_weight_heterogeneity,shared_tax_error_magnitude_covariance,shared_tax_directional_dependence,crossfit_adaptive_mse,crossfit_adaptive_gain_pct,crossfit_constant_mean_weight_A,crossfit_constant_mean_weight_B,crossfit_constant_mean_mse,crossfit_constant_mean_gain_pct,crossfit_permuted_weight_mse,crossfit_permuted_weight_gain_pct,crossfit_permuted_weight_mse_sd,independent_fold_crossfit_mse,independent_fold_crossfit_gain_vs_original_full_direct_pct,corr_DA_DB_disjoint_observed,corr_DA_DB_disjoint_theory,cov_DA_DB_disjoint,corr_DA_DB_independent_control,cov_wA_errorB_disjoint,cov_wB_errorA_disjoint,cov_wA_errorB_independent_control,cov_wB_errorA_independent_control
georgia,128,10292,0.955110765643,0.973208152049,0.0180973864062,0.000318063080831,0.000219725506832,30.9176323583,0.316185698401,0.000172960594802,45.6206629356,0.000175137565479,44.9362167337,3.51825306972e-06,4.67649120297e-05,2.3064300616e-06,3.29876032436e-05,1.14708787245e-05,0.000171681609667,46.0227797521,0.313606845661,0.324427146893,0.000172017749803,45.9170962711,0.000175505790199,44.8204457616,4.10012596415e-06,0.000184526685627,41.984248802,-0.00808283674345,-0.00625733281189,-5.13916015625e-06,-0.0635988566676,-9.93475336957e-07,1.65044423625e-05,-7.548497401e-05,1.39608826835e-05
georgia,256,10292,0.955110765643,0.973208152049,0.0180973864062,0.000162503343852,0.000137525682459,15.3705522614,0.281174567192,0.00011005004833,32.2782868824,0.000112930594643,30.505679473,2.13504686575e-06,2.74756341287e-05,3.07859481274e-06,8.21840446508e-06,1.61786348509e-05,0.000115237478964,29.0860875644,0.317232248135,0.315600699192,0.000108928516705,32.9684459881,0.00011019597944,32.18848497,1.36125652054e-06,0.000125679710045,22.6602314353,0.0412637557381,-0.0125934671389,1.28753662109e-05,0.0186243273775,4.24015510491e-06,-6.7359276928e-07,-4.47251275048e-05,1.39459566678e-05
georgia,512,10292,0.955110765643,0.973208152049,0.0180973864062,7.09785562485e-05,7.90456523802e-05,-11.3655399012,0.224878645655,6.03569616421e-05,14.9645120552,6.37700193471e-05,10.1559362185,1.54608045728e-06,1.86886907381e-05,3.2729649063e-06,1.03709106052e-06,1.43786347713e-05,7.69698989311e-05,-8.44106022901,0.288480563631,0.288825318362,6.45580595464e-05,9.04568512155,6.6047519978e-05,6.94721973948,9.53181843343e-07,9.05252997289e-05,-27.5389420602,-0.0474874703886,-0.0255081705859,-7.05909729004e-06,0.0152670369294,-4.58312548726e-05,-4.86364905565e-05,6.65662799161e-05,-1.02412824148e-05
georgia,1024,10292,0.955110765643,0.973208152049,0.0180973864062,3.97776239596e-05,4.38844220073e-05,-10.3243925577,0.132221310842,3.38004480848e-05,15.0264779035,3.58967487369e-05,9.75642795219,9.0087275122e-07,1.00839739225e-05,2.03031782548e-06,-2.10643613893e-06,1.0160092236e-05,4.99089889011e-05,-25.470010355,0.210137592202,0.221823851158,3.70068576352e-05,6.96564060033,3.88420081207e-05,2.35211595304,8.39842476097e-07,5.54299021287e-05,-39.3494548216,0.00127711631405,-0.0523517382413,1.00612640381e-07,0.0384107233279,-6.04972078599e-06,-9.39447583772e-06,-1.96269881338e-06,1.1716020055e-05
cpsc_2018,128,6877,0.942125927003,0.973208152049,0.0310822250464,0.000365749310151,0.000328448981685,10.1983318712,0.273988235286,0.000243850807627,33.328429922,0.000253920365519,30.575298853,6.40235804331e-06,8.45981740583e-05,9.11099451595e-06,3.15102172083e-05,4.3976962334e-05,0.00026301033936,28.0899971481,0.314900097561,0.308007431974,0.000243754754555,33.354691919,0.000248379850339,32.0901383965,4.23268439136e-06,0.000364042032544,0.466789016448,-0.129584027634,-0.0093938059592,-0.000107208251953,0.0720929629576,-0.000227992592955,-0.00014628434121,0.000182336603153,0.000305143956341
cpsc_2018,256,6877,0.942125927003,0.973208152049,0.0310822250464,0.000189726997022,0.00020593676185,-8.54373129949,0.20112915583,0.000149269524576,21.3240461725,0.000158995081857,16.1979663663,4.43826287531e-06,5.66672372748e-05,9.2628825815e-06,5.09650908617e-06,4.23078456072e-05,0.000200099988604,-5.46732502192,0.27582823329,0.280092007769,0.000159942972376,15.6983587542,0.000164947544199,13.0605834763,2.76423670702e-06,0.000250116648244,-31.8297617997,-0.0280782223721,-0.0189657727071,-1.08764648437e-05,0.0922413616258,-4.68498347592e-07,-5.1692865272e-05,0.000189864034896,0.000111272163106
cpsc_2018,512,6877,0.942125927003,0.973208152049,0.0310822250464,9.26396150694e-05,0.000110580550217,-19.3663748868,0.120396095086,8.8720682033e-05,4.2302993525,9.2946979062e-05,-0.331784617547,1.84680578749e-06,2.18598681844e-05,4.36817030033e-06,-5.83233370597e-06,2.33240315901e-05,0.000137647510864,-48.5838544996,0.203304558379,0.212826345002,0.000104638435985,-12.9521489335,0.00010937822319,-18.0685208025,1.83651149205e-06,0.000135564229847,-46.3350530394,-0.0742461475816,-0.0386648542516,-1.47850036621e-05,-0.0759942451582,-5.26389454345e-05,-5.23831505756e-05,-7.2696002263e-05,-0.000141324373001
cpsc_2018,1024,6877,0.942125927003,0.973208152049,0.0310822250464,4.28001397436e-05,4.41510987009e-05,-3.15643585593,0.0539682367989,3.8075437403e-05,11.0389881176,3.83931639585e-05,10.2966387763,4.97016226871e-07,6.07566129785e-06,2.8476490336e-07,1.35666690455e-07,5.65522970404e-06,5.52758754314e-05,-29.1488199865,0.112150221812,0.113492293285,4.00209721636e-05,6.49336099521,4.18398875729e-05,2.2435725128,1.06215320277e-06,7.14303521505e-05,-66.8928012349,-0.135117259185,-0.0804399057345,-1.30613327026e-05,-0.0809811264763,-0.000101477649634,-7.04566716166e-05,-9.61479822609e-05,-5.12178578955e-05
