dataset,budget,N,theta,H,B,direct_mc_mse,finite_population_variance,Lambda_mc,Lambda_fpc,fixed_opt_weight_mc,fixed_safe_max_mc,fixed_opt_weight_fpc,fixed_safe_max_fpc,mean_w_shared_original,p_shared_weight_above_safe_fpc,mean_sensor_weight_original,mean_sensor_weight_fullm,mean_sensor_weight_fullm_fpc,prospective_crossfit_mse_recomputed,prospective_crossfit_gain_pct_recomputed,exploratory_fullm_crossfit_mse,exploratory_fullm_crossfit_gain_pct,exploratory_fullm_fpc_crossfit_mse,exploratory_fullm_fpc_crossfit_gain_pct,oracle_fixed_weight,oracle_fixed_mse,oracle_fixed_gain_pct,coupling_crossfit_original,coupling_crossfit_fullm,coupling_crossfit_fullm_fpc
georgia,128,10292,0.955110765643,0.973208152049,0.0180973864062,0.000318063080831,0.00033082098229,1.02971836241,0.990007926552,0.49267919063,0.98535838126,0.502510561218,1.00502112244,0.316185698401,0,0.319016996277,0.285339581734,0.284637292759,0.000171681609667,46.0227797521,0.000195516008858,38.5291721544,0.000196014472575,38.3724536457,0.35,0.000165548889617,47.9509255884,-9.0934200066e-06,3.69084199907e-06,3.92913782663e-06
georgia,256,10292,0.955110765643,0.973208152049,0.0180973864062,0.000162503343852,0.00016332739956,2.01543787945,2.00526914418,0.331626795171,0.663253590342,0.332748899358,0.665497798717,0.281174567192,0,0.316416473664,0.26799171352,0.265593096441,0.000115237478964,29.0860875644,0.000126505967226,22.1517759406,0.000126996315996,21.8500290603,0.332748899358,0.000108822062575,33.0339548737,7.765869156e-06,1.62439381673e-05,1.64689908161e-05
georgia,512,10292,0.955110765643,0.973208152049,0.0180973864062,7.09785562485e-05,7.95806081955e-05,4.61428651198,4.11551761369,0.178117023039,0.356234046078,0.195483639295,0.390967278589,0.224878645655,0,0.288652940996,0.224982600538,0.219863686594,7.69698989311e-05,-8.44106022901,7.93635078439e-05,-11.8133589053,7.94200186586e-05,-11.8929756482,0.195483639295,5.94934154245e-05,16.1811417857,1.2185947825e-05,1.72286379733e-05,1.74519702203e-05
georgia,1024,10292,0.955110765643,0.973208152049,0.0180973864062,3.97776239596e-05,3.77072125131e-05,8.23365908103,8.68574930123,0.108299428344,0.216598856688,0.103244464512,0.206488929023,0.132221310842,0.135,0.21598072168,0.145580514004,0.136207903758,4.99089889011e-05,-25.470010355,4.8104117463e-05,-20.9326065123,4.779289986e-05,-20.1502128648,0.103244464512,3.39625354938e-05,14.6189940145,8.27127347172e-06,1.00422392252e-05,1.00400319291e-05
cpsc_2018,128,6877,0.942125927003,0.973208152049,0.0310822250464,0.000365749310151,0.000418106186679,2.64143960637,2.31066830536,0.274616664863,0.549233329725,0.302053817466,0.604107634933,0.273988235286,0,0.311453764767,0.25743681563,0.255902582718,0.00026301033936,28.0899971481,0.000295092445445,19.3183863223,0.000296095250887,19.0442079672,0.302053817466,0.000243569344242,33.4053851963,-9.1215896861e-07,2.64519567059e-05,2.71290350089e-05
cpsc_2018,256,6877,0.942125927003,0.973208152049,0.0310822250464,0.000189726997022,0.000205088239887,5.092078244,4.71067826398,0.164147596263,0.328295192527,0.175110547955,0.35022109591,0.20112915583,0,0.277960120529,0.207380390252,0.203331920454,0.000200099988604,-5.46732502192,0.000206521575428,-8.85197081568,0.000206622990646,-8.90542405082,0.175110547955,0.00014892815082,21.5039751025,2.06057666901e-05,3.550024801e-05,3.58952102065e-05
cpsc_2018,512,6877,0.942125927003,0.973208152049,0.0310822250464,9.26396150694e-05,9.85792664917e-05,10.4286348029,9.80028304346,0.0874995147934,0.174999029587,0.0925901660147,0.185180332029,0.120396095086,0.115,0.20806545169,0.134887411444,0.1278636201,0.000137647510864,-48.5838544996,0.000123909298763,-33.7541166058,0.000122614620634,-32.3565739578,0.0925901660147,8.69739135182e-05,6.11585178426,3.33623633533e-05,3.25824919955e-05,3.20206229527e-05
cpsc_2018,1024,6877,0.942125927003,0.973208152049,0.0310822250464,4.28001397436e-05,4.53247797939e-05,22.5724663429,21.3151551586,0.0424223747083,0.0848447494167,0.0448125945302,0.0896251890604,0.0539682367989,0.055,0.112821257549,0.0613303530827,0.0529567237854,5.52758754314e-05,-29.1488199865,4.7119185128e-05,-10.0911945855,4.62205859079e-05,-7.99167055255,0.0448125945302,3.84385775134e-05,10.190532686,6.67633586876e-06,4.3854606179e-06,3.92107119106e-06
