cycle,n,prevalence,true_accuracy,historical_accuracy_bias,direct_mae,observer_mae,relative_gain,mean_weight
NHANES_2015_2016,5201,0.42722553355124,0.719669294366468,0.000842575069734064,0.0198469901089484,0.0175228883667071,0.117100967425456,0.120519361811446
NHANES_2017_2018,5018,0.457552809884416,0.705460342766042,0.0150515266701597,0.0202955702245354,0.0181470220156752,0.10586291417734,0.117666649064003
NHANES_2021_2023,5767,0.398647477024449,0.693428125541876,0.0270837438943259,0.0202657695285406,0.0186536184347634,0.0795504504039071,0.111048141452905
