target,budget,target_n,true_accuracy,target_prevalence,direct_mae,observer_mae,regret,mean_weight,simultaneous_coverage,covered_event_certificate_violations,maximum_fallback_residual,relative_gain
hungary,16,294,0.8129251700680272,0.36054421768707484,0.07352253401360544,0.07325604931433025,-0.0002664846992752028,0.003524302983986461,0.995,0,0.0,0.003624530939397129
hungary,32,294,0.8129251700680272,0.36054421768707484,0.050549532312925166,0.05005292481698957,-0.0004966074959356046,0.00776933575931592,0.995,0,0.0,0.009824175876867909
hungary,64,294,0.8129251700680272,0.36054421768707484,0.03410289115646258,0.03336304865512669,-0.0007398425013358964,0.016433771722768217,0.9825,0,0.0,0.02169442168235909
switzerland,16,123,0.23577235772357724,0.9349593495934959,0.07728912601626016,0.07884446835515187,0.0015553423388917078,0.00497447273214753,0.9875,0,0.0,-0.02012368904992525
switzerland,32,123,0.23577235772357724,0.9349593495934959,0.052245934959349594,0.054609663588048855,0.0023637286286992596,0.008447338888709634,0.9975,0,0.0,-0.04524234527601777
switzerland,64,123,0.23577235772357724,0.9349593495934959,0.029030741869918702,0.03088428980806373,0.0018535479381450281,0.00876133817929702,0.9925,0,0.0,-0.06384776339683042
va_long_beach,16,200,0.575,0.745,0.09709374999999999,0.09566228927180133,-0.0014314607281986672,0.008495613665045613,1.0,0,0.0,0.014743077985953408
va_long_beach,32,200,0.575,0.745,0.061734375,0.06013380159102828,-0.0016005734089717173,0.020943624581304148,0.9975,0,0.0,0.025926777568764867
va_long_beach,64,200,0.575,0.745,0.041796875,0.041133912166830294,-0.000662962833169705,0.0328135653386499,0.9875,0,0.0,0.01586154068144336
