target,direct_mae,observer_mae,mean_weight,true_accuracy,target_n,regret,relative_gain
hungary,0.052724985827664404,0.052224007595482166,0.009242470155356867,0.8129251700680272,294,-0.0005009782321822379,0.009501723410978678
switzerland,0.05285526761517616,0.054779473917088144,0.007394383266718062,0.23577235772357724,123,0.0019242063019119862,-0.03640519457628279
va_long_beach,0.066875,0.06564333434321998,0.02075093452833322,0.575,200,-0.001231665656780026,0.0184174303817574
