archive,size_bytes,sha256,distribution
StageU4C_Canonical_Records_v1.1.zip,1323868,6faadd171fd0e1a3d10897494a878a6b716f195bed500220952a09d087bea244,reviewer-asset-bundle
StageU5B_Canonical_Records_v1.0.zip,1625430,c1f100c1af6aed44f255af00d50482266d9cc37ea252f64ebe849428076c09e1,reviewer-asset-bundle
StageU5D_Canonical_Records_v1.0.zip,11299949,7f30de1f4b76d3231a4e1f26ebacace429cc3232109d3208f11ec26cefe916f9,reviewer-asset-bundle
StageU5E_Canonical_Records_v1.0.zip,6643109,4638a2336055426d4c9fe575555ea1d496caeb9948504b8d6295a4a3505bc19b,reviewer-asset-bundle
StageU5F_Canonical_Records_v1.0.zip,17118,b6193aee017b1f9026510152a6bb64a9a95e3e8c40d7eaff1bddf7441284aae3,reviewer-asset-bundle
StageU6_Canonical_Records_v1.0.zip,1411997,93cd5918c35ad52524312dd75b36fad3f7a105af39f604176c7c5413d280c3d5,reviewer-asset-bundle
StageU7_Canonical_Records_v1.0.zip,4029669,0dd751343c77a02070e1c844712928732b8804ba77fd172f6ea7169038df19cd,reviewer-asset-bundle
